country,cost_usd,duration_hours,users_affected,year
Myanmar,2800000000,12238,22000000,2021
Nigeria,1500000000,5040,104400000,2021
India,582800000,1157,59100000,2021
Uzbekistan,170900000,4416,18800000,2021
Ethiopia,164500000,8864,21300000,2021
Sudan,157400000,777,13200000,2021
Uganda,109700000,692,10600000,2021
Bangladesh,49700000,60,112700000,2021
Burkina Faso,35900000,192,10900000,2021
Cuba,33100000,176,7000000,2021
Syria,28700000,104,5900000,2021
Iran,27500000,408,4700000,2021
Armenia,8300000,41,1900000,2021
Colombia,6100000,24,1800000,2021
eSwatini,2900000,218,500000,2021
Pakistan,2600000,3,97800000,2021
Republic of Congo,2500000,72,1500000,2021
Zambia,1800000,48,2600000,2021
Chad,1600000,29,1100000,2021
Russia,900000,6,1400000,2021
Senegal,300000,7,4900000,2021
South Sudan,300000,24,900000,2021
